location,year,quarter,avg_price
bommanahalli,2028,Jul-Sep,7242.946020260858
bommanahalli,2028,Oct-Dec,7333.444279967034
bommanahalli,2029,Jan-Mar,7425.073286055544
bommanahalli,2029,Apr-Jun,7517.847166835431
bommanahalli,2029,Jul-Sep,7611.780227144379
bommanahalli,2029,Oct-Dec,7706.886950554371
bommanahalli,2030,Jan-Mar,7803.182001604922
bommanahalli,2030,Apr-Jun,7900.680228064211
bommanahalli,2030,Jul-Sep,7999.39666321846
bommanahalli,2030,Oct-Dec,8099.3465281899225
brookefield,2025,Jan-Mar,8832.169474339767
brookefield,2025,Apr-Jun,9076.865515810226
brookefield,2025,Jul-Sep,9328.34088289092
brookefield,2025,Oct-Dec,9586.78339740133
brookefield,2026,Jan-Mar,9852.38608478117
brookefield,2026,Apr-Jun,10125.34731825714
brookefield,2026,Jul-Sep,10405.870967003844
brookefield,2026,Oct-Dec,10694.166548409517
brookefield,2027,Jan-Mar,10990.449384560285
brookefield,2027,Apr-Jun,11294.940763059834
brookefield,2027,Jul-Sep,11607.86810230461
brookefield,2027,Oct-Dec,11929.465121337977
brookefield,2028,Jan-Mar,12259.972014410194
brookefield,2028,Apr-Jun,12599.63563037461
brookefield,2028,Jul-Sep,12948.709657054029
brookefield,2028,Oct-Dec,13307.454810714964
brookefield,2029,Jan-Mar,13676.1390307913
brookefield,2029,Apr-Jun,14055.03768000279
brookefield,2029,Jul-Sep,14444.433750017844
brookefield,2029,Oct-Dec,14844.618072814243
brookefield,2030,Jan-Mar,15255.889537895593
brookefield,2030,Apr-Jun,15678.555315525808
brookefield,2030,Jul-Sep,16112.9310861483
