Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Shayamal Cross Road,Jan-Mar 2021,"5,253 - 6,742","5,998",2%,,,
Shayamal Cross Road,Oct-Dec 2020,"5,258 - 6,475","5,867",1%,,,
Shayamal Cross Road,Jul-Sep 2020,"5,147 - 6,516","5,831",2%,,,
Shayamal Cross Road,Apr-Jun 2020,"5,195 - 6,753","5,974",0.30%,,,
Shayamal Cross Road,Jan-Mar 2020,"5,258 - 6,649","5,954",1%,,,
Shayamal Cross Road,Oct-Dec 2019,"4,989 - 6,778","5,884",1%,,,
Shayamal Cross Road,Jul-Sep 2019,"5,080 - 6,532","5,806",0.10%,,,
Shayamal Cross Road,Apr-Jun 2019,"5,158 - 6,467","5,812",1%,,,
Shayamal Cross Road,Jan-Mar 2019,"5,164 - 6,351","5,757",1%,,,
Shayamal Cross Road,Oct-Dec 2018,"5,207 - 6,433","5,820",1%,,,
Shayamal Cross Road,Jul-Sep 2018,"5,150 - 6,380","5,765",1%,,,
Shayamal Cross Road,Apr-Jun 2018,"5,080 - 6,300","5,690",2%,,,
Shayamal Cross Road,Jan-Mar 2018,"5,010 - 6,250","5,630",2%,,,
Shayamal Cross Road,Oct-Dec 2017,"4,950 - 6,180","5,565",2%,,,
Shayamal Cross Road,Jul-Sep 2017,"4,880 - 6,120","5,500",2%,,,
Shayamal Cross Road,Apr-Jun 2017,"4,810 - 6,050","5,440",2%,,,
Shayamal Cross Road,Jan-Mar 2017,"4,750 - 5,980","5,380",2%,,,
Shayamal Cross Road,Oct-Dec 2016,"4,680 - 5,920","5,320",2%,,,
Shayamal Cross Road,Jul-Sep 2016,"4,620 - 5,860","5,270",2%,,,
Shayamal Cross Road,Apr-Jun 2016,"4,560 - 5,800","5,220",2%,,,
Shayamal Cross Road,Jan-Mar 2016,"4,500 - 5,750","5,170",2%,,,
Shayamal Cross Road,Oct-Dec 2015,"4,440 - 5,700","5,120",2%,,,
Shayamal Cross Road,Jul-Sep 2015,"4,390 - 5,650","5,070",2%,,,
Shayamal Cross Road,Apr-Jun 2015,"4,340 - 5,600","5,020",2%,,,
Shayamal Cross Road,Jan-Mar 2015,"4,290 - 5,550","4,970",2%,,,
Shayamal Cross Road,Oct-Dec 2014,"4,250 - 5,500","4,920",-,,,
,,,,,,,
Sindhu Bhavan Marg,Oct-Dec 2024,"6,761 - 9,588","8,174",1%,,,
Sindhu Bhavan Marg,Jul-Sep 2024,"6,706 - 9,524","8,115",1%,,,
Sindhu Bhavan Marg,Apr-Jun 2024,"6,639 - 9,598","8,119",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2024,"6,613 - 9,381","7,997",0.20%,,,
Sindhu Bhavan Marg,Oct-Dec 2023,"6,632 - 9,394","8,013",1%,,,
Sindhu Bhavan Marg,Jul-Sep 2023,"6,490 - 9,311","7,900",13%,,,
Sindhu Bhavan Marg,Apr-Jun 2023,"5,509 - 8,512","7,011",11%,,,
Sindhu Bhavan Marg,Jan-Mar 2023,"6,501 - 9,332","7,917",1%,,,
Sindhu Bhavan Marg,Oct-Dec 2022,"6,459 - 9,502","7,980",1%,,,
Sindhu Bhavan Marg,Jul-Sep 2022,"6,459 - 9,407","7,933",6%,,,
Sindhu Bhavan Marg,Apr-Jun 2022,"6,107 - 8,797","7,452",3%,,,
Sindhu Bhavan Marg,Jan-Mar 2022,"5,844 - 8,603","7,224",1%,,,
Sindhu Bhavan Marg,Oct-Dec 2021,"5,725 - 8,525","7,125",2%,,,
Sindhu Bhavan Marg,Jul-Sep 2021,"5,710 - 8,326","7,018",0.40%,,,
Sindhu Bhavan Marg,Apr-Jun 2021,"5,806 - 8,283","7,045",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2021,"5,632 - 8,160","6,896",4%,,,
Sindhu Bhavan Marg,Oct-Dec 2020,"5,335 - 7,967","6,651",2%,,,
Sindhu Bhavan Marg,Jul-Sep 2020,"5,127 - 7,927","6,527",3%,,,
Sindhu Bhavan Marg,Apr-Jun 2020,"4,951 - 7,723","6,337",5%,,,
Sindhu Bhavan Marg,Jan-Mar 2020,"4,970 - 7,088","6,029",2%,,,
Sindhu Bhavan Marg,Oct-Dec 2019,"5,003 - 7,271","6,137",0.30%,,,
Sindhu Bhavan Marg,Jul-Sep 2019,"4,922 - 7,309","6,116",8%,,,
Sindhu Bhavan Marg,Apr-Jun 2019,"5,240 - 8,097","6,669",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2019,"5,224 - 7,874","6,549",4%,,,
Sindhu Bhavan Marg,Oct-Dec 2018,"5,517 - 8,063","6,790",3%,,,
Sindhu Bhavan Marg,Jul-Sep 2018,"5,131 - 8,009","6,570",2%,,,
Sindhu Bhavan Marg,Apr-Jun 2018,"5,119 - 8,223","6,671",6%,,,
Sindhu Bhavan Marg,Jan-Mar 2018,"5,747 - 8,511","7,129",2%,,,
Sindhu Bhavan Marg,Oct-Dec 2017,"5,630 - 8,340","7,030",2%,,,
Sindhu Bhavan Marg,Jul-Sep 2017,"5,520 - 8,170","6,910",2%,,,
Sindhu Bhavan Marg,Apr-Jun 2017,"5,400 - 8,000","6,780",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2017,"5,310 - 7,860","6,635",2%,,,
Sindhu Bhavan Marg,Oct-Dec 2016,"5,220 - 7,730","6,475",2%,,,
Sindhu Bhavan Marg,Jul-Sep 2016,"5,140 - 7,600","6,330",2%,,,
Sindhu Bhavan Marg,Apr-Jun 2016,"5,060 - 7,480","6,180",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2016,"4,990 - 7,360","6,030",2%,,,
Sindhu Bhavan Marg,Oct-Dec 2015,"4,920 - 7,250","5,900",2%,,,
Sindhu Bhavan Marg,Jul-Sep 2015,"4,850 - 7,140","5,770",2%,,,
Sindhu Bhavan Marg,Apr-Jun 2015,"4,780 - 7,030","5,640",2%,,,
Sindhu Bhavan Marg,Jan-Mar 2015,"4,720 - 6,920","5,510",2%,,,
Sindhu Bhavan Marg,Oct-Dec 2014,"4,660 - 6,820","5,390",-,,,
,,,,,,,
Sola,Oct-Dec 2024,"6,502 - 8,989","7,745",1%,,,
Sola,Jul-Sep 2024,"6,456 - 8,840","7,648",1%,,,
Sola,Apr-Jun 2024,"6,502 - 8,924","7,713",1%,,,
Sola,Jan-Mar 2024,"6,510 - 9,084","7,797",1%,,,
Sola,Oct-Dec 2023,"6,344 - 9,083","7,713",2%,,,
Sola,Jul-Sep 2023,"6,236 - 8,891","7,563",5%,,,
Sola,Apr-Jun 2023,"5,993 - 8,353","7,173",2%,,,
Sola,Jan-Mar 2023,"5,983 - 8,121","7,052",1%,,,
Sola,Oct-Dec 2022,"6,065 - 8,208","7,136",1%,,,
Sola,Jul-Sep 2022,"6,104 - 8,272","7,188",1%,,,
Sola,Apr-Jun 2022,"6,017 - 8,277","7,147",0.20%,,,
Sola,Jan-Mar 2022,"6,043 - 8,277","7,160",1%,,,
Sola,Oct-Dec 2021,"5,970 - 8,120","7,045",2%,,,
Sola,Jul-Sep 2021,"5,900 - 7,980","6,940",1.50%,,,
Sola,Apr-Jun 2021,"5,830 - 7,850","6,835",1%,,,
Sola,Jan-Mar 2021,"5,770 - 7,720","6,745",2%,,,
Sola,Oct-Dec 2020,"5,660 - 7,650","6,705",1%,,,
Sola,Jul-Sep 2020,"5,540 - 7,500","6,520",1%,,,
Sola,Apr-Jun 2020,"5,420 - 7,360","6,440",0.50%,,,
Sola,Jan-Mar 2020,"5,380 - 7,230","6,420",1%,,,
Sola,Oct-Dec 2019,"5,250 - 7,180","6,320",1%,,,
Sola,Jul-Sep 2019,"5,150 - 7,030","6,210",1%,,,
Sola,Apr-Jun 2019,"5,060 - 6,950","6,150",1%,,,
Sola,Jan-Mar 2019,"5,000 - 6,880","6,100",1%,,,
Sola,Oct-Dec 2018,"4,950 - 6,750","6,040",1%,,,
Sola,Jul-Sep 2018,"4,850 - 6,700","5,980",1%,,,
Sola,Apr-Jun 2018,"4,800 - 6,620","5,920",1%,,,
Sola,Jan-Mar 2018,"4,750 - 6,550","5,860",1%,,,
Sola,Oct-Dec 2017,"4,700 - 6,480","5,800",1%,,,
Sola,Jul-Sep 2017,"4,650 - 6,420","5,740",1%,,,
Sola,Apr-Jun 2017,"4,600 - 6,360","5,680",1%,,,
Sola,Jan-Mar 2017,"4,550 - 6,280","5,620",1%,,,
Sola,Oct-Dec 2016,"4,500 - 6,200","5,560",1%,,,
Sola,Jul-Sep 2016,"4,450 - 6,150","5,500",1%,,,
Sola,Apr-Jun 2016,"4,400 - 6,100","5,440",1%,,,
Sola,Jan-Mar 2016,"4,350 - 6,050","5,380",1%,,,
Sola,Oct-Dec 2015,"4,300 - 6,000","5,320",1%,,,
Sola,Jul-Sep 2015,"4,250 - 5,950","5,260",1%,,,
Sola,Apr-Jun 2015,"4,200 - 5,900","5,200",1%,,,
Sola,Jan-Mar 2015,"4,150 - 5,850","5,140",1%,,,
Sola,Oct-Dec 2014,"4,100 - 5,800","5,080",-,,,
,,,,,,,
Sola Road,Oct-Dec 2024,"6,484 - 9,035","7,760",2%,,,
Sola Road,Jul-Sep 2024,"6,338 - 8,864","7,601",1.50%,,,
Sola Road,Apr-Jun 2024,"6,332 - 8,870","7,601",1%,,,
Sola Road,Jan-Mar 2024,"6,345 - 8,943","7,644",1%,,,
Sola Road,Oct-Dec 2023,"6,179 - 9,014","7,596",3%,,,
Sola Road,Jul-Sep 2023,"5,972 - 8,696","7,334",3%,,,
Sola Road,Apr-Jun 2023,"5,882 - 8,388","7,135",1.50%,,,
Sola Road,Jan-Mar 2023,"5,780 - 8,210","7,060",1%,,,
Sola Road,Oct-Dec 2022,"5,670 - 8,120","6,920",1.50%,,,
Sola Road,Jul-Sep 2022,"5,580 - 7,980","6,785",1.30%,,,
Sola Road,Apr-Jun 2022,"5,520 - 7,850","6,685",1.50%,,,
Sola Road,Jan-Mar 2022,"5,460 - 7,720","6,620",1%,,,
Sola Road,Oct-Dec 2021,"5,390 - 7,650","6,555",2%,,,
Sola Road,Jul-Sep 2021,"5,290 - 7,500","6,430",1.80%,,,
Sola Road,Apr-Jun 2021,"5,210 - 7,380","6,335",1.50%,,,
Sola Road,Jan-Mar 2021,"5,140 - 7,260","6,270",1%,,,
Sola Road,Oct-Dec 2020,"5,070 - 7,150","6,180",1.50%,,,
Sola Road,Jul-Sep 2020,"4,980 - 7,050","6,115",1.30%,,,
Sola Road,Apr-Jun 2020,"4,910 - 6,950","6,050",1%,,,
Sola Road,Jan-Mar 2020,"4,850 - 6,870","6,020",0.80%,,,
Sola Road,Oct-Dec 2019,"4,780 - 6,780","5,960",1%,,,
Sola Road,Jul-Sep 2019,"4,700 - 6,700","5,890",1.20%,,,
Sola Road,Apr-Jun 2019,"4,630 - 6,620","5,820",1.30%,,,
Sola Road,Jan-Mar 2019,"4,560 - 6,550","5,750",1.50%,,,
Sola Road,Oct-Dec 2018,"4,490 - 6,460","5,680",1.80%,,,
Sola Road,Jul-Sep 2018,"4,420 - 6,400","5,620",1.50%,,,
Sola Road,Apr-Jun 2018,"4,350 - 6,320","5,560",2%,,,
Sola Road,Jan-Mar 2018,"4,280 - 6,240","5,490",1.70%,,,
Sola Road,Oct-Dec 2017,"4,200 - 6,150","5,410",1.50%,,,
Sola Road,Jul-Sep 2017,"4,130 - 6,080","5,350",1.30%,,,
Sola Road,Apr-Jun 2017,"4,070 - 6,010","5,290",1.50%,,,
Sola Road,Jan-Mar 2017,"4,000 - 5,930","5,220",1.30%,,,
Sola Road,Oct-Dec 2016,"3,950 - 5,850","5,150",1.50%,,,
Sola Road,Jul-Sep 2016,"3,900 - 5,800","5,100",1%,,,
Sola Road,Apr-Jun 2016,"3,850 - 5,750","5,050",1.30%,,,
Sola Road,Jan-Mar 2016,"3,800 - 5,700","5,000",1%,,,
Sola Road,Oct-Dec 2015,"3,750 - 5,650","4,950",1.20%,,,
Sola Road,Jul-Sep 2015,"3,700 - 5,600","4,900",1.30%,,,
Sola Road,Apr-Jun 2015,"3,650 - 5,550","4,850",1.50%,,,
Sola Road,Jan-Mar 2015,"3,600 - 5,500","4,800",1.30%,,,
Sola Road,Oct-Dec 2014,"3,550 - 5,450","4,750",-,,,
,,,,,,,
South Bopal,Oct-Dec 2024,"5,254 - 8,395","6,825",5%,,,
South Bopal,Jul-Sep 2024,"5,459 - 8,970","7,214",5%,,,
South Bopal,Apr-Jun 2024,"5,130 - 8,667","6,899",6%,,,
South Bopal,Jan-Mar 2024,"5,021 - 8,009","6,515",2%,,,
South Bopal,Oct-Dec 2023,"5,076 - 7,640","6,358",1%,,,
South Bopal,Jul-Sep 2023,"5,166 - 7,645","6,405",5%,,,
South Bopal,Apr-Jun 2023,"5,201 - 8,315","6,758",3%,,,
South Bopal,Jan-Mar 2023,"4,923 - 8,259","6,591",6%,,,
South Bopal,Oct-Dec 2022,"4,975 - 9,103","7,039",7%,,,
South Bopal,Jul-Sep 2022,"4,945 - 8,252","6,598",12%,,,
South Bopal,Apr-Jun 2022,"4,754 - 7,066","5,910",1%,,,
South Bopal,Jan-Mar 2022,"4,840 - 6,826","5,833",2%,,,
South Bopal,Oct-Dec 2021,"4,656 - 6,789","5,722",2%,,,
South Bopal,Jul-Sep 2021,"4,636 - 7,002","5,819",5%,,,
South Bopal,Apr-Jun 2021,"4,338 - 6,698","5,518",4%,,,
South Bopal,Jan-Mar 2021,"4,437 - 7,071","5,754",3%,,,
South Bopal,Oct-Dec 2020,"4,482 - 7,393","5,938",6%,,,
South Bopal,Jul-Sep 2020,"4,729 - 7,933","6,331",7%,,,
South Bopal,Apr-Jun 2020,"4,606 - 7,234","5,920",2%,,,
South Bopal,Jan-Mar 2020,"4,594 - 6,983","5,789",0.40%,,,
South Bopal,Oct-Dec 2019,"4,581 - 7,040","5,811",3%,,,
South Bopal,Jul-Sep 2019,"4,338 - 6,933","5,635",2%,,,
South Bopal,Apr-Jun 2019,"4,239 - 6,767","5,503",1.50%,,,
South Bopal,Jan-Mar 2019,"4,199 - 6,803","5,501",3%,,,
South Bopal,Oct-Dec 2018,"4,195 - 6,510","5,352",2%,,,
South Bopal,Jul-Sep 2018,"4,100 - 6,401","5,251",3%,,,
South Bopal,Apr-Jun 2018,"4,010 - 6,210","5,110",1%,,,
South Bopal,Jan-Mar 2018,"3,962 - 6,341","5,151",3%,,,
South Bopal,Oct-Dec 2017,"3,725 - 6,254","4,990",2%,,,
South Bopal,Jul-Sep 2017,"3,777 - 6,016","4,897",3%,,,
South Bopal,Apr-Jun 2017,"3,894 - 6,172","5,033",5%,,,
South Bopal,Jan-Mar 2017,"3,588 - 5,959","4,774",4%,,,
South Bopal,Oct-Dec 2016,"3,728 - 5,495","4,611",4%,,,
South Bopal,Jul-Sep 2016,"3,600 - 5,292","4,446",4%,,,
South Bopal,Apr-Jun 2016,"3,480 - 5,817","4,649",3%,,,
South Bopal,Jan-Mar 2016,"3,420 - 5,641","4,531",13%,,,
South Bopal,Oct-Dec 2015,"3,225 - 4,798","4,012",3%,,,
South Bopal,Jul-Sep 2015,"3,150 - 4,620","3,885",3%,,,
South Bopal,Apr-Jun 2015,"3,050 - 4,480","3,765",3%,,,
South Bopal,Jan-Mar 2015,"2,970 - 4,350","3,660",3%,,,
South Bopal,Oct-Dec 2014,"2,850 - 4,200","3,525",-,,,
,,,,,,,
Thaltej,Oct-Dec 2024,"6,531 - 9,142","7,837",0.30%,,,
Thaltej,Jul-Sep 2024,"6,506 - 9,118","7,812",1%,,,
Thaltej,Apr-Jun 2024,"6,445 - 9,330","7,887",1%,,,
Thaltej,Jan-Mar 2024,"6,437 - 9,149","7,793",1%,,,
Thaltej,Oct-Dec 2023,"6,469 - 9,123","7,796",2%,,,
Thaltej,Jul-Sep 2023,"6,373 - 8,973","7,673",15%,,,
Thaltej,Apr-Jun 2023,"5,268 - 8,036","6,652",12%,,,
Thaltej,Jan-Mar 2023,"6,215 - 8,886","7,551",1%,,,
Thaltej,Oct-Dec 2022,"6,109 - 8,779","7,444",3%,,,
Thaltej,Jul-Sep 2022,"5,849 - 8,557","7,203",7%,,,
Thaltej,Apr-Jun 2022,"5,510 - 7,944","6,727",2%,,,
Thaltej,Jan-Mar 2022,"5,295 - 7,874","6,584",1%,,,
Thaltej,Oct-Dec 2021,"5,155 - 7,825","6,490",2%,,,
Thaltej,Jul-Sep 2021,"5,208 - 8,037","6,623",5%,,,
Thaltej,Apr-Jun 2021,"5,649 - 8,290","6,970",4%,,,
Thaltej,Jan-Mar 2021,"5,470 - 7,892","6,681",1%,,,
Thaltej,Oct-Dec 2020,"5,339 - 8,096","6,718",4%,,,
Thaltej,Jul-Sep 2020,"5,040 - 7,828","6,434",6%,,,
Thaltej,Apr-Jun 2020,"5,461 - 8,183","6,822",3%,,,
Thaltej,Jan-Mar 2020,"5,375 - 7,898","6,637",1%,,,
Thaltej,Oct-Dec 2019,"5,391 - 7,764","6,577",3%,,,
Thaltej,Jul-Sep 2019,"5,295 - 7,460","6,377",1%,,,
Thaltej,Apr-Jun 2019,"5,156 - 7,696","6,426",2%,,,
Thaltej,Jan-Mar 2019,"5,135 - 7,465","6,300",2%,,,
Thaltej,Oct-Dec 2018,"5,142 - 7,270","6,206",1%,,,
Thaltej,Jul-Sep 2018,"5,185 - 7,314","6,249",2%,,,
Thaltej,Apr-Jun 2018,"5,234 - 7,074","6,154",1%,,,
Thaltej,Jan-Mar 2018,"5,251 - 6,989","6,120",1%,,,
Thaltej,Oct-Dec 2017,"5,294 - 7,087","6,190",5%,,,
Thaltej,Jul-Sep 2017,"5,246 - 7,834","6,540",1%,,,
Thaltej,Apr-Jun 2017,"5,276 - 7,736","6,506",3%,,,
Thaltej,Jan-Mar 2017,"5,160 - 7,486","6,323",6%,,,
Thaltej,Oct-Dec 2016,"5,078 - 6,864","5,971",0.50%,,,
Thaltej,Jul-Sep 2016,"5,132 - 6,752","5,942",0.20%,,,
Thaltej,Apr-Jun 2016,"4,990 - 6,918","5,954",2%,,,
Thaltej,Jan-Mar 2016,"4,915 - 7,211","6,063",3%,,,
Thaltej,Oct-Dec 2015,"4,847 - 7,598","6,222",1%,,,
Thaltej,Jul-Sep 2015,"5,022 - 7,507","6,265",4%,,,
Thaltej,Apr-Jun 2015,"4,764 - 7,315","6,039",6%,,,
Thaltej,Jan-Mar 2015,"5,074 - 7,834","6,454",4%,,,
Thaltej,Oct-Dec 2014,"4,875 - 7,580","6,228",3%,,,
,,,,,,,
Thaltej Shilaj Road,Oct-Dec 2024,"6,471 - 9,235","7,853",0.50%,,,
Thaltej Shilaj Road,Jul-Sep 2024,"6,474 - 9,159","7,817",0.40%,,,
Thaltej Shilaj Road,Apr-Jun 2024,"6,368 - 9,334","7,851",2%,,,
Thaltej Shilaj Road,Jan-Mar 2024,"6,253 - 9,175","7,714",0.40%,,,
Thaltej Shilaj Road,Oct-Dec 2023,"6,297 - 9,065","7,681",1%,,,
Thaltej Shilaj Road,Jul-Sep 2023,"6,305 - 8,973","7,639",14%,,,
Thaltej Shilaj Road,Apr-Jun 2023,"5,302 - 8,139","6,720",11%,,,
Thaltej Shilaj Road,Jan-Mar 2023,"6,208 - 8,907","7,558",1%,,,
Thaltej Shilaj Road,Oct-Dec 2022,"6,109 - 8,807","7,458",4%,,,
Thaltej Shilaj Road,Jul-Sep 2022,"5,836 - 8,574","7,205",7%,,,
Thaltej Shilaj Road,Apr-Jun 2022,"5,533 - 7,919","6,726",2%,,,
Thaltej Shilaj Road,Jan-Mar 2022,"5,254 - 7,886","6,570",1%,,,
Thaltej Shilaj Road,Oct-Dec 2021,"5,136 - 7,856","6,496",2%,,,
Thaltej Shilaj Road,Jul-Sep 2021,"5,214 - 8,015","6,615",5%,,,
Thaltej Shilaj Road,Apr-Jun 2021,"5,651 - 8,338","6,995",5%,,,
Thaltej Shilaj Road,Jan-Mar 2021,"5,474 - 7,874","6,674",0.20%,,,
Thaltej Shilaj Road,Oct-Dec 2020,"5,327 - 8,050","6,689",3%,,,
Thaltej Shilaj Road,Jul-Sep 2020,"5,100 - 7,970","6,535",2%,,,
Thaltej Shilaj Road,Apr-Jun 2020,"5,470 - 8,317","6,894",4%,,,
Thaltej Shilaj Road,Jan-Mar 2020,"5,386 - 7,883","6,635",1%,,,
Thaltej Shilaj Road,Oct-Dec 2019,"5,392 - 7,753","6,572",3%,,,
Thaltej Shilaj Road,Jul-Sep 2019,"5,303 - 7,435","6,369",1%,,,
Thaltej Shilaj Road,Apr-Jun 2019,"5,174 - 7,670","6,422",2%,,,
Thaltej Shilaj Road,Jan-Mar 2019,"5,154 - 7,436","6,295",2%,,,
Thaltej Shilaj Road,Oct-Dec 2018,"5,135 - 7,224","6,179",1%,,,
Thaltej Shilaj Road,Jul-Sep 2018,"5,222 - 7,227","6,225",1%,,,
Thaltej Shilaj Road,Apr-Jun 2018,"5,253 - 7,018","6,136",0.40%,,,
Thaltej Shilaj Road,Jan-Mar 2018,"5,235 - 6,990","6,113",1%,,,
Thaltej Shilaj Road,Oct-Dec 2017,"5,230 - 7,163","6,197",3%,,,
Thaltej Shilaj Road,Jul-Sep 2017,"5,185 - 7,584","6,384",2%,,,
Thaltej Shilaj Road,Apr-Jun 2017,"5,280 - 7,691","6,485",3%,,,
Thaltej Shilaj Road,Jan-Mar 2017,"5,044 - 7,518","6,281",2%,,,
Thaltej Shilaj Road,Oct-Dec 2016,"5,082 - 6,950","6,016",0.50%,,,
Thaltej Shilaj Road,Jul-Sep 2016,"5,169 - 6,768","5,968",0.10%,,,
Thaltej Shilaj Road,Apr-Jun 2016,"5,022 - 6,901","5,961",1%,,,
Thaltej Shilaj Road,Jan-Mar 2016,"4,859 - 6,997","5,928",5%,,,
Thaltej Shilaj Road,Oct-Dec 2015,"4,859 - 7,558","6,209",0.40%,,,
Thaltej Shilaj Road,Jul-Sep 2015,"5,008 - 7,466","6,237",3%,,,
Thaltej Shilaj Road,Apr-Jun 2015,"4,789 - 7,295","6,042",6%,,,
Thaltej Shilaj Road,Jan-Mar 2015,"5,062 - 7,771","6,417",3%,,,
Thaltej Shilaj Road,Oct-Dec 2014,"4,850 - 7,540","6,195",2%,,,
,,,,,,,
Tragad Road,Oct-Dec 2024,"6,124 - 9,111","7,618",0.50%,,,
Tragad Road,Jul-Sep 2024,"6,093 - 9,081","7,580",0.40%,,,
Tragad Road,Apr-Jun 2024,"6,065 - 9,058","7,550",1%,,,
Tragad Road,Jan-Mar 2024,"6,000 - 9,015","7,475",0.50%,,,
Tragad Road,Oct-Dec 2023,"5,970 - 8,975","7,438",1%,,,
Tragad Road,Jul-Sep 2023,"5,850 - 8,850","7,350",12%,,,
Tragad Road,Apr-Jun 2023,"5,245 - 7,940","6,700",10%,,,
Tragad Road,Jan-Mar 2023,"5,100 - 7,850","6,600",2%,,,
Tragad Road,Oct-Dec 2022,"5,020 - 7,775","6,470",4%,,,
Tragad Road,Jul-Sep 2022,"4,950 - 7,680","6,375",7%,,,
Tragad Road,Apr-Jun 2022,"4,700 - 7,450","6,200",2%,,,
Tragad Road,Jan-Mar 2022,"4,620 - 7,360","6,080",1%,,,
Tragad Road,Oct-Dec 2021,"4,590 - 7,320","6,020",2%,,,
Tragad Road,Jul-Sep 2021,"4,550 - 7,285","5,950",5%,,,
Tragad Road,Apr-Jun 2021,"4,500 - 7,150","5,850",4%,,,
Tragad Road,Jan-Mar 2021,"4,450 - 7,000","5,750",0.50%,,,
Tragad Road,Oct-Dec 2020,"4,425 - 6,950","5,720",3%,,,
Tragad Road,Jul-Sep 2020,"4,280 - 6,780","5,530",2%,,,
Tragad Road,Apr-Jun 2020,"4,200 - 6,650","5,420",3%,,,
Tragad Road,Jan-Mar 2020,"4,090 - 6,500","5,250",1%,,,
Tragad Road,Oct-Dec 2019,"4,050 - 6,400","5,150",2%,,,
Tragad Road,Jul-Sep 2019,"4,000 - 6,350","5,080",1%,,,
Tragad Road,Apr-Jun 2019,"3,950 - 6,270","5,020",2%,,,
Tragad Road,Jan-Mar 2019,"3,900 - 6,200","4,950",2%,,,
Tragad Road,Oct-Dec 2018,"3,850 - 6,100","4,875",1%,,,
Tragad Road,Jul-Sep 2018,"3,800 - 6,050","4,850",1%,,,
Tragad Road,Apr-Jun 2018,"3,750 - 5,980","4,800",0.50%,,,
Tragad Road,Jan-Mar 2018,"3,720 - 5,900","4,750",1%,,,
Tragad Road,Oct-Dec 2017,"3,700 - 5,850","4,700",3%,,,
Tragad Road,Jul-Sep 2017,"3,600 - 5,780","4,620",2%,,,
Tragad Road,Apr-Jun 2017,"3,500 - 5,690","4,530",3%,,,
Tragad Road,Jan-Mar 2017,"3,450 - 5,600","4,480",2%,,,
Tragad Road,Oct-Dec 2016,"3,400 - 5,500","4,400",0.50%,,,
Tragad Road,Jul-Sep 2016,"3,350 - 5,450","4,350",0.50%,,,
Tragad Road,Apr-Jun 2016,"3,300 - 5,400","4,320",2%,,,
Tragad Road,Jan-Mar 2016,"3,250 - 5,350","4,250",3%,,,
Tragad Road,Oct-Dec 2015,"3,200 - 5,250","4,180",1%,,,
Tragad Road,Jul-Sep 2015,"3,150 - 5,200","4,140",3%,,,
Tragad Road,Apr-Jun 2015,"3,100 - 5,100","4,020",5%,,,
Tragad Road,Jan-Mar 2015,"3,000 - 5,000","3,850",3%,,,
Tragad Road,Oct-Dec 2014,"2,900 - 4,900","3,740",2%,,,
,,,,,,,
Usmanpura,Oct-Dec 2024,"6,066 - 8,988","7,527",0.50%,,,
Usmanpura,Jul-Sep 2024,"6,036 - 8,950","7,490",0.50%,,,
Usmanpura,Apr-Jun 2024,"5,505 - 9,008","7,256",5%,,,
Usmanpura,Jan-Mar 2024,"6,086 - 9,133","7,609",1%,,,
Usmanpura,Oct-Dec 2023,"6,020 - 8,970","7,495",1.50%,,,
Usmanpura,Jul-Sep 2023,"5,900 - 8,850","7,380",10%,,,
Usmanpura,Apr-Jun 2023,"5,355 - 8,100","6,750",9%,,,
Usmanpura,Jan-Mar 2023,"5,200 - 8,000","6,650",2%,,,
Usmanpura,Oct-Dec 2022,"5,100 - 7,900","6,520",4%,,,
Usmanpura,Jul-Sep 2022,"4,900 - 7,750","6,350",7%,,,
Usmanpura,Apr-Jun 2022,"4,600 - 7,400","6,150",3%,,,
Usmanpura,Jan-Mar 2022,"4,500 - 7,300","6,000",2%,,,
Usmanpura,Oct-Dec 2021,"4,420 - 7,210","5,900",3%,,,
Usmanpura,Jul-Sep 2021,"4,250 - 7,050","5,750",5%,,,
Usmanpura,Apr-Jun 2021,"4,000 - 6,800","5,500",4%,,,
Usmanpura,Jan-Mar 2021,"3,900 - 6,700","5,400",1%,,,
Usmanpura,Oct-Dec 2020,"3,850 - 6,650","5,350",3%,,,
Usmanpura,Jul-Sep 2020,"3,730 - 6,520","5,200",2%,,,
Usmanpura,Apr-Jun 2020,"3,650 - 6,400","5,020",2%,,,
Usmanpura,Jan-Mar 2020,"3,580 - 6,300","4,950",1%,,,
Usmanpura,Oct-Dec 2019,"3,520 - 6,200","4,850",2%,,,
Usmanpura,Jul-Sep 2019,"3,400 - 6,100","4,750",1%,,,
Usmanpura,Apr-Jun 2019,"3,350 - 6,000","4,700",2%,,,
Usmanpura,Jan-Mar 2019,"3,280 - 5,950","4,650",2%,,,
Usmanpura,Oct-Dec 2018,"3,200 - 5,850","4,600",1%,,,
Usmanpura,Jul-Sep 2018,"3,150 - 5,800","4,550",1%,,,
Usmanpura,Apr-Jun 2018,"3,100 - 5,750","4,500",0.50%,,,
Usmanpura,Jan-Mar 2018,"3,080 - 5,700","4,450",1%,,,
Usmanpura,Oct-Dec 2017,"3,020 - 5,650","4,400",3%,,,
Usmanpura,Jul-Sep 2017,"2,900 - 5,550","4,300",2%,,,
