Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Anand Nagar Prahlad Nagar,Jul-Sep 2019,"4,350 - 7,650","6,060",1%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2019,"4,270 - 7,550","5,995",1%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2019,"4,200 - 7,450","5,930",1%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2018,"4,130 - 7,350","5,860",2%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2018,"4,050 - 7,250","5,750",3%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2018,"3,950 - 7,150","5,650",2%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2018,"3,870 - 7,050","5,540",2%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2017,"3,800 - 6,980","5,440",1%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2017,"3,730 - 6,900","5,370",2%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2017,"3,650 - 6,820","5,250",1%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2017,"3,600 - 6,750","5,180",1%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2016,"3,530 - 6,680","5,120",2%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2016,"3,460 - 6,600","5,020",3%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2016,"3,400 - 6,520","4,900",2%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2016,"3,320 - 6,450","4,800",2%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2015,"3,250 - 6,370","4,700",2%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2015,"3,180 - 6,300","4,620",3%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2015,"3,100 - 6,220","4,500",2%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2015,"3,050 - 6,140","4,420",1%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2014,"3,000 - 6,070","4,360",1%,,,
,,,,,,,
Ashram Road,Oct-Dec 2024,"5,897 - 8,903","7,400",3%,,,
Ashram Road,Jul-Sep 2024,"5,788 - 8,635","7,211",1%,,,
Ashram Road,Apr-Jun 2024,"5,638 - 8,592","7,115",3%,,,
Ashram Road,Jan-Mar 2024,"5,644 - 8,969","7,307",4%,,,
Ashram Road,Oct-Dec 2023,"5,541 - 8,452","6,997",1%,,,
Ashram Road,Jul-Sep 2023,"5,534 - 8,287","6,911",1%,,,
Ashram Road,Apr-Jun 2023,"5,452 - 8,179","6,816",2%,,,
Ashram Road,Jan-Mar 2023,"5,535 - 7,889","6,712",1%,,,
Ashram Road,Oct-Dec 2022,"5,484 - 8,079","6,781",2%,,,
Ashram Road,Jul-Sep 2022,"5,480 - 7,845","6,662",1%,,,
Ashram Road,Apr-Jun 2022,"5,451 - 7,778","6,614",1%,,,
Ashram Road,Jan-Mar 2022,"5,465 - 7,576","6,521",1%,,,
Ashram Road,Oct-Dec 2021,"5,375 - 7,563","6,469",2%,,,
Ashram Road,Jul-Sep 2021,"5,486 - 7,258","6,372",1%,,,
Ashram Road,Apr-Jun 2021,"5,165 - 7,429","6,297",0.30%,,,
Ashram Road,Jan-Mar 2021,"5,194 - 7,431","6,313",2%,,,
Ashram Road,Oct-Dec 2020,"5,409 - 7,481","6,445",1%,,,
Ashram Road,Jul-Sep 2020,"5,371 - 7,687","6,529",1%,,,
Ashram Road,Apr-Jun 2020,"5,227 - 7,935","6,581",1%,,,
Ashram Road,Jan-Mar 2020,"5,181 - 7,991","6,586",1%,,,
Ashram Road,Oct-Dec 2019,"5,575 - 7,773","6,674",0.10%,,,
Ashram Road,Jul-Sep 2019,"5,563 - 7,770","6,667",1%,,,
Ashram Road,Apr-Jun 2019,"5,399 - 8,058","6,729",1%,,,
Ashram Road,Jan-Mar 2019,"5,167 - 8,151","6,659",5%,,,
Ashram Road,Oct-Dec 2018,"4,986 - 7,717","6,351",3%,,,
Ashram Road,Jul-Sep 2018,"5,087 - 7,283","6,185",9%,,,
Ashram Road,Apr-Jun 2018,"5,307 - 8,339","6,823",9%,,,
Ashram Road,Jan-Mar 2018,"4,963 - 7,583","6,273",2%,,,
Ashram Road,Oct-Dec 2017,"4,966 - 7,826","6,396",3%,,,
Ashram Road,Jul-Sep 2017,"5,219 - 7,165","6,192",1%,,,
Ashram Road,Apr-Jun 2017,"4,953 - 7,302","6,128",6%,,,
Ashram Road,Jan-Mar 2017,"5,177 - 7,920","6,549",2%,,,
Ashram Road,Oct-Dec 2016,"5,294 - 8,020","6,657",2%,,,
Ashram Road,Jul-Sep 2016,"5,226 - 7,804","6,515",4%,,,
Ashram Road,Apr-Jun 2016,"4,910 - 7,650","6,280",3%,,,
Ashram Road,Jan-Mar 2016,"4,696 - 7,551","6,124",2%,,,
Ashram Road,Oct-Dec 2015,"4,960 - 7,496","6,228",3%,,,
Ashram Road,Jul-Sep 2015,"5,062 - 7,730","6,396",6%,,,
Ashram Road,Apr-Jun 2015,"4,770 - 7,263","6,016",8%,,,
Ashram Road,Jan-Mar 2015,"4,487 - 6,693","5,590",3%,,,
Ashram Road,Oct-Dec 2014,"4,359 - 6,500","5,430",2%,,,
,,,,,,,
Ashram Road Area,Oct-Dec 2024,"6,183 - 8,816","7,499",3%,,,
Ashram Road Area,Jul-Sep 2024,"6,065 - 8,672","7,280",2.50%,,,
Ashram Road Area,Apr-Jun 2024,"5,930 - 8,520","7,105",3%,,,
Ashram Road Area,Jan-Mar 2024,"5,760 - 8,355","6,900",3.50%,,,
Ashram Road Area,Oct-Dec 2023,"5,630 - 8,270","6,665",2%,,,
Ashram Road Area,Jul-Sep 2023,"5,550 - 8,100","6,535",1.50%,,,
Ashram Road Area,Apr-Jun 2023,"5,480 - 7,970","6,435",1.80%,,,
Ashram Road Area,Jan-Mar 2023,"5,430 - 7,850","6,320",2%,,,
Ashram Road Area,Oct-Dec 2022,"5,350 - 7,710","6,200",2.20%,,,
Ashram Road Area,Jul-Sep 2022,"5,270 - 7,600","6,070",1.80%,,,
Ashram Road Area,Apr-Jun 2022,"5,180 - 7,500","5,960",1.50%,,,
Ashram Road Area,Jan-Mar 2022,"5,120 - 7,420","5,870",1.80%,,,
Ashram Road Area,Oct-Dec 2021,"5,070 - 7,310","5,765",2.10%,,,
Ashram Road Area,Jul-Sep 2021,"5,000 - 7,190","5,650",1.20%,,,
Ashram Road Area,Apr-Jun 2021,"4,950 - 7,050","5,580",0.80%,,,
Ashram Road Area,Jan-Mar 2021,"4,890 - 7,000","5,535",2%,,,
Ashram Road Area,Oct-Dec 2020,"4,850 - 6,950","5,430",1.50%,,,
