,location,quarter,year,min_price,max_price,avg_price,Risk,location,latitude,longitude
203,Amboli,Oct-Dec,2025,16550.68103,25451.71033,21001.034,High,Amboli,19.12935956,72.84341611
204,Amboli,Jan-Mar,2026,16076.91037,24723.14373,20399.87,High,Amboli,19.12935956,72.84341611
205,Amboli,Apr-Jun,2026,16091.91558,24746.21881,20418.91,High,Amboli,19.12935956,72.84341611
206,Amboli,Jul-Sep,2026,15860.63515,24390.55473,20125.44,High,Amboli,19.12935956,72.84341611
207,Amboli,Oct-Dec,2026,15550.7192,23913.96462,19732.19,High,Amboli,19.12935956,72.84341611
208,Amboli,Jan-Mar,2027,14653.34605,22533.98023,18593.52,High,Amboli,19.12935956,72.84341611
209,Amboli,Apr-Jun,2027,14533.24919,22349.29475,18441.13,High,Amboli,19.12935956,72.84341611
210,Amboli,Jul-Sep,2027,14463.9683,22242.75429,18353.22,High,Amboli,19.12935956,72.84341611
211,Amboli,Oct-Dec,2027,14535.76319,22353.16079,18444.32,High,Amboli,19.12935956,72.84341611
212,Amboli,Jan-Mar,2028,15634.50881,24042.81665,19838.51,High,Amboli,19.12935956,72.84341611
213,Amboli,Apr-Jun,2028,15717.70735,24170.75973,19944.08,High,Amboli,19.12935956,72.84341611
214,Amboli,Jul-Sep,2028,16082.17481,24731.23939,20406.55,High,Amboli,19.12935956,72.84341611
215,Amboli,Oct-Dec,2028,16123.8253,24795.28971,20459.4,High,Amboli,19.12935956,72.84341611
216,Amboli,Jan-Mar,2029,16756.62914,25768.41824,21262.36,High,Amboli,19.12935956,72.84341611
217,Amboli,Apr-Jun,2029,16835.89511,25890.31381,21362.94,High,Amboli,19.12935956,72.84341611
218,Amboli,Jul-Sep,2029,17324.061,26641.01746,21982.37,High,Amboli,19.12935956,72.84341611
219,Amboli,Oct-Dec,2029,17171.81011,26406.88538,21789.18,High,Amboli,19.12935956,72.84341611
