location,year,quarter,avg_price,max_price,min_price
Ambli,2026,Apr-Jun,7578.369999999992,9053.2977516003,6103.404989577079
Ambli,2026,Jul-Sep,7580.559999999992,9055.913976735257,6105.168753675055
Ambli,2026,Oct-Dec,7705.455999999988,9205.11765456886,6205.756461794109
Ambli,2027,Jan-Mar,7760.439999999992,9270.802824806527,6250.039021229308
Ambli,2027,Apr-Jun,7766.579999999999,9278.13781217121,6254.984003677519
Ambli,2027,Jul-Sep,7847.260000000009,9374.52002399238,6319.961395195634
Ambli,2027,Oct-Dec,7918.180000000006,9459.242711924411,6377.0783585876015
Ambli,2028,Jan-Mar,7939.76,9485.0226838022,6394.458280612396
Ambli,2028,Apr-Jun,7923.750000000003,9465.896763979983,6381.56427914729
Ambli,2028,Jul-Sep,7956.070000000013,9504.506990629225,6407.593893597785
Ambli,2028,Oct-Dec,7938.751666666671,9483.818105258331,6393.646197447045
Ambli,2029,Jan-Mar,7814.840000000008,9335.79033500822,6293.851243571724
Ambli,2029,Apr-Jun,7815.2200000000075,9336.24429188095,6294.157284830732
Ambli,2029,Jul-Sep,8005.829999999995,9563.951448490147,6447.669191093321
Ambli,2029,Oct-Dec,7908.729999999991,9447.953521273552,6369.467595699066
Ambli,2030,Jan-Mar,7843.780000000013,9370.362734736837,6317.158701560498
Ambli,2030,Apr-Jun,7798.100000000008,9315.792340141013,6280.369320740623
Ambli,2030,Jul-Sep,7937.330000000006,9482.119749063419,6392.5012272982085
Ambli,2030,Oct-Dec,8015.870833333326,9575.946462436526,6455.755794448153
Ambli Bopal Road,2024,Jan-Mar,5139.379999999992,6000.812198772855,4277.888303889783
Ambli Bopal Road,2024,Apr-Jun,5073.329999999994,5923.691292023609,4222.9099752836255
Ambli Bopal Road,2024,Jul-Sep,5070.460000000003,5920.340239754576,4220.52106077796
Ambli Bopal Road,2024,Oct-Dec,5081.3600000000015,5933.067232692754,4229.593941653162
Ambli Bopal Road,2025,Jan-Mar,5399.0375,6303.99193903392,4494.020557637764
Ambli Bopal Road,2025,Apr-Jun,5278.867500000002,6163.679760925564,4393.994126924637
Ambli Bopal Road,2025,Jul-Sep,5941.314642857146,6937.162339738452,4945.398164838507
Ambli Bopal Road,2025,Oct-Dec,6001.0630952380925,7006.925471070515,4995.131246575208
Ambli Bopal Road,2026,Jan-Mar,6985.960000000009,8156.904916184312,5814.934209076183
Ambli Bopal Road,2026,Apr-Jun,7017.280000000004,8193.474587636032,5841.004175040523
