location,quarter,year,avg_price
Bandra Kurla Complex,Oct-Dec,2030,38119.09
Bandra West,Jan-Mar,2024,42485.23
Bandra West,Apr-Jun,2024,43635.36
Bandra West,Jul-Sep,2024,44195.97
Bandra West,Oct-Dec,2024,43937.73
Bandra West,Jan-Mar,2025,41923.46705
Bandra West,Apr-Jun,2025,42248.08971
Bandra West,Jul-Sep,2025,42605.93305
Bandra West,Oct-Dec,2025,41403.52267
Bandra West,Jan-Mar,2026,39669.57667
Bandra West,Apr-Jun,2026,39659.06667
Bandra West,Jul-Sep,2026,40080.99
Bandra West,Oct-Dec,2026,39604.74667
Bandra West,Jan-Mar,2027,38356.88
Bandra West,Apr-Jun,2027,38515.94
Bandra West,Jul-Sep,2027,39033.28
Bandra West,Oct-Dec,2027,39000.11
Bandra West,Jan-Mar,2028,40328.89
Bandra West,Apr-Jun,2028,40322.76
Bandra West,Jul-Sep,2028,40525.46
Bandra West,Oct-Dec,2028,40292.59
Bandra West,Jan-Mar,2029,41245.54
Bandra West,Apr-Jun,2029,42324.42
Bandra West,Jul-Sep,2029,42957.57
Bandra West,Oct-Dec,2029,43585.18
Bandra West,Jan-Mar,2030,42485.23
Bandra West,Apr-Jun,2030,43635.36
Bandra West,Jul-Sep,2030,44195.97
Bandra West,Oct-Dec,2030,43937.73
Beverly Park Road,Jan-Mar,2024,9557.96
Beverly Park Road,Apr-Jun,2024,9574.78
Beverly Park Road,Jul-Sep,2024,9343.86
Beverly Park Road,Oct-Dec,2024,9300.53
Beverly Park Road,Jan-Mar,2025,9740.87
Beverly Park Road,Apr-Jun,2025,9368.67
Beverly Park Road,Jul-Sep,2025,7981.47
Beverly Park Road,Oct-Dec,2025,7849.9
Beverly Park Road,Jan-Mar,2026,7892.33
Beverly Park Road,Apr-Jun,2026,7836.36
Beverly Park Road,Jul-Sep,2026,7892.31
Beverly Park Road,Oct-Dec,2026,7936.22
Beverly Park Road,Jan-Mar,2027,8059.83
Beverly Park Road,Apr-Jun,2027,8093
Beverly Park Road,Jul-Sep,2027,8168.54
Beverly Park Road,Oct-Dec,2027,8246.28
Beverly Park Road,Jan-Mar,2028,8610.88
Beverly Park Road,Apr-Jun,2028,8613.49
Beverly Park Road,Jul-Sep,2028,8687.66
Beverly Park Road,Oct-Dec,2028,8802.58
Beverly Park Road,Jan-Mar,2029,9069.04
Beverly Park Road,Apr-Jun,2029,9165.84
Beverly Park Road,Jul-Sep,2029,9051.83
Beverly Park Road,Oct-Dec,2029,9089.61
Beverly Park Road,Jan-Mar,2030,9557.96
Beverly Park Road,Apr-Jun,2030,9574.78
Beverly Park Road,Jul-Sep,2030,9343.86
Beverly Park Road,Oct-Dec,2030,9300.53
Bhandup,Jan-Mar,2024,15987.41
Bhandup,Apr-Jun,2024,16172.66
Bhandup,Jul-Sep,2024,16336.87
Bhandup,Oct-Dec,2024,17645.15
Bhandup,Jan-Mar,2025,17276.84
Bhandup,Apr-Jun,2025,16803.29
Bhandup,Jul-Sep,2025,15899.97
Bhandup,Oct-Dec,2025,15194.59
Bhandup,Jan-Mar,2026,14809.25
Bhandup,Apr-Jun,2026,14807.78
